2.5%GOLDBONDS2028SR-III       ,SGBJUN28  ,GB,N,0014259.57,0014500.00,0014590.00,0014480.00,0014563.09,    ,              ,                  ,0000000.00,0000000.00,03-JUL-2026,        ,0014550.00
2.5%GOLDBONDS2028SR-VIII      ,SGBN28VIII,GB,N,0014287.50,0014336.20,0014599.00,0014305.01,0014588.50,    ,              ,                  ,0000000.00,0000000.00,03-JUL-2026,        ,0014589.00
2.5%GOLDBONDS2029SR-I         ,SGBMAY29I ,GB,N,0014254.36,0014401.00,0014606.00,0014401.00,0014582.76,    ,              ,                  ,0000000.00,0000000.00,03-JUL-2026,        ,0014599.00
2.5%GOLDBONDS2029SR-II        ,SGBJUN29II,GB,N,0014254.67,0014306.56,0014600.00,0014306.56,0014586.18,    ,              ,                  ,0000000.00,0000000.00,03-JUL-2026,        ,0014600.00
2.5%GOLDBONDS2029SR-III       ,SGBJU29III,GB,N,0014211.00,0014578.50,0014597.00,0014501.00,0014578.93,    ,              ,                  ,0000000.00,0000000.00,03-JUL-2026,        ,0014552.80
2.5%GOLDBONDS2029SR-VI        ,SGBSEP29VI,GB,N,0014244.81,0014305.01,0014600.00,0014305.01,0014592.86,    ,              ,                  ,0000000.00,0000000.00,03-JUL-2026,        ,0014556.00
2.5%GOLDBONDS2029SR-VII       ,SGBNV29VII,GB,N,0014250.33,0014250.01,0014800.00,0014121.00,0014661.52,    ,              ,                  ,0000000.00,0000000.00,03-JUL-2026,        ,0014560.00
2.50%GOLDBONDS2026SR-II       ,SGBOCT26  ,GB,N,0014100.00,0014399.00,0014590.00,0014399.00,0014590.00,    ,              ,                  ,0000000.00,0000000.00,03-JUL-2026,        ,0014590.00
2.50%GOLDBONDS2026SR-III      ,SGBNOV26  ,GB,N,0014499.00,0015259.00,0015259.00,0014451.00,0014480.16,    ,              ,                  ,0000000.00,0000000.00,03-JUL-2026,        ,0014451.00
2.50%GOLDBONDS2026SR-IV       ,SGBDEC26  ,GB,N,0014419.00,0014300.00,0014549.80,0014300.00,0014549.80,    ,              ,                  ,0000000.00,0000000.00,03-JUL-2026,        ,0014549.80
2.50%GOLDBONDS2027SR-I        ,SGBJUN27  ,GB,N,0014220.00,0014500.00,0014594.79,0014350.01,0014550.32,    ,              ,                  ,0000000.00,0000000.00,03-JUL-2026,        ,0014573.59
2.50%GOLDBONDS2027SR-III      ,SGBAUG27  ,GB,N,0014251.00,0014385.00,0015474.00,0014385.00,0014598.50,    ,              ,                  ,0000000.00,0000000.00,03-JUL-2026,        ,0014599.00
2.50%GOLDBONDS2027SR-IV       ,SGBSEP27  ,GB,N,0014220.00,0014500.00,0014590.00,0014499.99,0014589.99,    ,              ,                  ,0000000.00,0000000.00,03-JUL-2026,        ,0014589.99
2.50%GOLDBONDS2027SR-V        ,SGBJAN27  ,GB,N,0014399.00,0014400.00,0014600.00,0014400.00,0014600.00,    ,              ,                  ,0000000.00,0000000.00,03-JUL-2026,        ,0014600.00
2.50%GOLDBONDS2027SR-V        ,SGBOCT27  ,GB,N,0014195.00,0014524.00,0014525.00,0014524.00,0014525.00,    ,              ,                  ,0000000.00,0000000.00,03-JUL-2026,        ,0014525.00
2.50%GOLDBONDS2027SR-VI       ,SGBFEB27  ,GB,N,0014025.00,0014500.00,0014699.00,0014500.00,0014698.07,    ,              ,                  ,0000000.00,0000000.00,03-JUL-2026,        ,0014699.00
2.50%GOLDBONDS2027SR-VI       ,SGBOCT27VI,GB,N,0014264.90,0014500.00,0014649.00,0014500.00,0014570.00,    ,              ,                  ,0000000.00,0000000.00,03-JUL-2026,        ,0014570.00
2.50%GOLDBONDS2027SR-VII      ,SGBDC27VII,GB,N,0014300.00,0014350.00,0014649.00,0014350.00,0014509.25,    ,              ,                  ,0000000.00,0000000.00,03-JUL-2026,        ,0014503.00
2.50%GOLDBONDS2028SR-I        ,SGBAPR28I ,GB,N,0014306.28,0014499.00,0014599.00,0014499.00,0014573.75,    ,              ,                  ,0000000.00,0000000.00,03-JUL-2026,        ,0014575.00
2.50%GOLDBONDS2028SR-II       ,SGBMAY28  ,GB,N,0014258.33,0014412.00,0014599.00,0014412.00,0014577.89,    ,              ,                  ,0000000.00,0000000.00,03-JUL-2026,        ,0014512.00
2.50%GOLDBONDS2028SR-IV       ,SGBJUL28IV,GB,N,0014295.53,0014598.99,0014616.00,0014520.00,0014613.21,    ,              ,                  ,0000000.00,0000000.00,03-JUL-2026,        ,0014576.00
2.50%GOLDBONDS2028SR-V        ,SGBAUG28V ,GB,N,0014271.91,0014511.00,0014629.21,0014490.07,0014602.14,    ,              ,                  ,0000000.00,0000000.00,03-JUL-2026,        ,0014598.10
2.50%GOLDBONDS2028SR-VI       ,SGBSEP28VI,GB,N,0014242.23,0014550.00,0014588.00,0014550.00,0014587.57,    ,              ,                  ,0000000.00,0000000.00,03-JUL-2026,        ,0014588.00
2.50%GOLDBONDS2028SR-VII      ,SGBOC28VII,GB,N,0014240.00,0014498.10,0014560.95,0014498.10,0014560.00,    ,              ,                  ,0000000.00,0000000.00,03-JUL-2026,        ,0014560.00
2.50%GOLDBONDS2028SR-VIII     ,SGBJ28VIII,GB,N,0014235.00,0014511.00,0014619.00,0014500.00,0014619.00,    ,              ,                  ,0000000.00,0000000.00,03-JUL-2026,        ,0014619.00
2.50%GOLDBONDS2028SR-X        ,SGBMAR28X ,GB,N,0014248.00,0014550.00,0014645.00,0014535.00,0014581.80,    ,              ,                  ,0000000.00,0000000.00,03-JUL-2026,        ,0014645.00
2.50%GOLDBONDS2029SR-IV       ,SGBJUL29IV,GB,N,0014287.77,0014599.00,0014601.00,0014550.00,0014597.96,    ,              ,                  ,0000000.00,0000000.00,03-JUL-2026,        ,0014598.00
2.50%GOLDBONDS2029SR-IX       ,SGBJAN29IX,GB,N,0014294.69,0014551.00,0014597.85,0014510.00,0014551.00,    ,              ,                  ,0000000.00,0000000.00,03-JUL-2026,        ,0014551.00
2.50%GOLDBONDS2029SR-V        ,SGBAUG29V ,GB,N,0014252.85,0014617.50,0014712.99,0014546.90,0014638.41,    ,              ,                  ,0000000.00,0000000.00,03-JUL-2026,        ,0014630.00
2.50%GOLDBONDS2029SR-VIII     ,SGBD29VIII,GB,N,0014294.36,0014511.00,0014645.00,0014485.00,0014594.84,    ,              ,                  ,0000000.00,0000000.00,03-JUL-2026,        ,0014620.00
2.50%GOLDBONDS2029SR-X        ,SGBJAN29X ,GB,N,0014277.07,0014511.00,0014597.98,0014510.00,0014597.98,    ,              ,                  ,0000000.00,0000000.00,03-JUL-2026,        ,0014597.98
2.50%GOLDBONDS2029SR-XI       ,SGBFEB29XI,GB,N,0014271.00,0014365.00,0014640.00,0014365.00,0014585.00,    ,              ,                  ,0000000.00,0000000.00,03-JUL-2026,        ,0014585.00
2.50%GOLDBONDS2029SR-XII      ,SGBMR29XII,GB,N,0014267.40,0014306.00,0014640.00,0014267.40,0014602.78,    ,              ,                  ,0000000.00,0000000.00,03-JUL-2026,        ,0014640.00
2.50%GOLDBONDS2030SR-I        ,SGBJUN30  ,GB,N,0014449.00,0014875.00,0014949.00,0014640.00,0014782.19,    ,              ,                  ,0000000.00,0000000.00,03-JUL-2026,        ,0014766.48
2.50%GOLDBONDS2030SR-II       ,SGBAUG30  ,GB,N,0014432.65,0014845.00,0014895.00,0014828.28,0014875.00,    ,              ,                  ,0000000.00,0000000.00,03-JUL-2026,        ,0014875.00
2.50%GOLDBONDS2030SR-III      ,SGBDE30III,GB,N,0014380.55,0014511.94,0014790.00,0014502.00,0014761.14,    ,              ,                  ,0000000.00,0000000.00,03-JUL-2026,        ,0014780.00
2.50%GOLDBONDS2030SR-IX       ,SGBJAN30IX,GB,N,0014330.51,0014351.00,0014797.00,0014351.00,0014651.71,    ,              ,                  ,0000000.00,0000000.00,03-JUL-2026,        ,0014790.00
